CODIGO,PLANO_NUM,CL_XN_INI,CL_XN_FIN,CL_YN_INI,CL_YN_FIN,CR_XN_INI,CR_XN_FIN,CR_YN_INI,CR_YN_FIN,CALLES,CARRERAS
"V 8, 9M1",1,110801003,110861001,094448000,101999999,130944483,131021001,080100000,085999999,De la Calle 80 Par hasta la Calle 86 Impar,De la Cra 94l Impar hasta la Cra 102 Par
"V 8, 9M2",1,110861003,110901001,094448000,101999999,130944483,131021001,086100000,089999999,De la Calle 86 Par hasta la Calle 90 Impar,De la Cra 94l Impar hasta la Cra 102 Par
"V 8,10M1",1,110801003,111008830,102100000,109882999,131021003,131098830,080100000,100882999,De la Calle 80 Par hasta la Calle 100z,De la Cra 102 Impar hasta la Cra 109z
"V 8,11M1",1,110801003,110831291,110100000,140882999,131101000,131408830,080100000,083128999,De la Calle 80 Par hasta la Calle 83a Impar,De la Cra 110  hasta la Cra 140z
"V 8,11M2",1,110831293,111008830,110100000,140882999,131101000,131408830,083129000,100882999,De la Calle 83a Par hasta la Calle 100z,De la Cra 110  hasta la Cra 140z
"V 9, 0M1",1,110941003,111001001,001100000,010999999,130011000,130111001,094100000,099999999,De la Calle 94 Par hasta la Calle 100 Impar,De la Cra 1  hasta la Cra 11 Par
"V 9, 0M2",1,110921003,110941001,001100000,010999999,130011000,130111001,092100000,093999999,De la Calle 92 Par hasta la Calle 94 Impar,De la Cra 1  hasta la Cra 11 Par
"V 9, 0M3",1,110851003,110921001,001100000,010999999,130011000,130111001,085100000,091999999,De la Calle 85 Par hasta la Calle 92 Impar,De la Cra 1  hasta la Cra 11 Par
"V 9, 1M1",1,110941003,111001001,011100000,044999999,130111003,130451001,094100000,099999999,De la Calle 94 Par hasta la Calle 100 Impar,De la Cra 11 Impar hasta la Cra 45 Par
"V 9, 1M2",1,110921003,110941001,011100000,044999999,130111003,130451001,092100000,093999999,De la Calle 92 Par hasta la Calle 94 Impar,De la Cra 11 Impar hasta la Cra 45 Par
