CODIGO,PLANO_NUM,CL_XN_INI,CL_XN_FIN,CL_YN_INI,CL_YN_FIN,CR_XN_INI,CR_XN_FIN,CR_YN_INI,CR_YN_FIN,CALLES,CARRERAS
"V15, 0M4",4,411471000,411598830,000100000,006100999,430001000,430061010,147100000,159882999,De la Calle 147  hasta la Calle 159z,De la Cra 0  hasta la Cra 6bis
"V15, 1M1",1,111471000,111531001,009100000,014999999,130091003,130151001,147100000,152999999,De la Calle 147  hasta la Calle 153 Impar,De la Cra 9 Impar hasta la Cra 15 Par
"V15, 1M2",1,111531003,111618830,009100000,014999999,130091003,130151001,153100000,161882999,De la Calle 153 Par hasta la Calle 161z,De la Cra 9 Impar hasta la Cra 15 Par
"V15, 1M3",1,111471000,111618830,015100000,018999999,130151003,130191001,147100000,161882999,De la Calle 147  hasta la Calle 161z,De la Cra 15 Impar hasta la Cra 19 Par
"V15, 2M1",1,111471000,111531001,019100000,044999999,130191003,130451001,147100000,152999999,De la Calle 147  hasta la Calle 153 Impar,De la Cra 19 Impar hasta la Cra 45 Par
"V15, 2M2",1,111531003,111618830,019100000,044999999,130191003,130451001,153100000,161882999,De la Calle 153 Par hasta la Calle 161z,De la Cra 19 Impar hasta la Cra 45 Par
"V15, 4M1",1,111521000,111601001,045100000,079999999,130451003,130801001,152100000,159999999,De la Calle 152  hasta la Calle 160 Impar,De la Cra 45 Impar hasta la Cra 80 Par
"V15, 8M1",1,111531003,111698830,090100000,103882999,130901000,131038830,153100000,169882999,De la Calle 153 Par hasta la Calle 169z,De la Cra 90  hasta la Cra 103z
"V15, 8M2",1,111451000,111698830,086100000,089999999,130861000,130901001,145100000,169882999,De la Calle 145  hasta la Calle 169z,De la Cra 86  hasta la Cra 90 Par
"V15, 8M2",1,111451000,111531001,090100000,091882999,130901003,130918830,145100000,152999999,De la Calle 145  hasta la Calle 153 Impar,De la Cra 90 Impar hasta la Cra 91z
"V15, 9M2",1,111451000,111488830,092100000,103882999,130921000,131038830,145100000,148882999,De la Calle 145  hasta la Calle 148z,De la Cra 92  hasta la Cra 103z
"V15, 9M3",1,111491000,111531001,091100000,103882999,130911000,131038830,149100000,152999999,De la Calle 149  hasta la Calle 153 Impar,De la Cra 91  hasta la Cra 103z
"V15,10M1",1,111451003,111698830,104100000,114999999,131041000,131151001,145100000,169882999,De la Calle 145 Par hasta la Calle 169z,De la Cra 104  hasta la Cra 115 Par
"V15,12M1",1,111431290,111468830,127100000,140882999,131271000,131408830,143129000,146882999,De la Calle 143a  hasta la Calle 146z,De la Cra 127  hasta la Cra 140z
"V15,12M2",1,111451003,111468830,115100000,126882999,131151003,131268830,145100000,146882999,De la Calle 145 Par hasta la Calle 146z,De la Cra 115 Impar hasta la Cra 126z
"V15,12M3",1,111471000,111538830,115100000,140882999,131151003,131408830,147100000,153882999,De la Calle 147  hasta la Calle 153z,De la Cra 115 Impar hasta la Cra 140z
"V15,15M1",1,111421580,111448830,148100000,153882999,131481000,131538830,142158000,144882999,De la Calle 142b  hasta la Calle 144z,De la Cra 148  hasta la Cra 153z
"V15,15M2",1,111421290,111518830,141100000,149882999,131411003,131498830,142129000,151882999,De la Calle 142a  hasta la Calle 151z,De la Cra 141 Impar hasta la Cra 149z
"V16, 0M1",1,111601000,111648830,000100000,006999999,130001000,130071001,160100000,164882999,De la Calle 160  hasta la Calle 164z,De la Cra 0  hasta la Cra 7 Par
"V16, 0M2",1,111651000,111701001,000100000,006999999,130001000,130071001,165100000,169999999,De la Calle 165  hasta la Calle 170 Impar,De la Cra 0  hasta la Cra 7 Par
"V16, 0M3",1,111601000,111648830,007100000,008999999,130071003,130091001,160100000,164882999,De la Calle 160  hasta la Calle 164z,De la Cra 7 Impar hasta la Cra 9 Par
"V16, 0M4",1,111651000,111701001,007100000,008999999,130071003,130091001,165100000,169999999,De la Calle 165  hasta la Calle 170 Impar,De la Cra 7 Impar hasta la Cra 9 Par
"V16, 0M5",4,411601000,411698830,000100000,008100999,430001000,430081010,160100000,169882999,De la Calle 160  hasta la Calle 169z,De la Cra 0  hasta la Cra 8bis
"V16, 1M1",1,111621000,111701001,009100000,014999999,130091003,130151001,162100000,169999999,De la Calle 162  hasta la Calle 170 Impar,De la Cra 9 Impar hasta la Cra 15 Par
"V16, 1M2",1,111621000,111701001,015100000,044999999,130151003,130451001,162100000,169999999,De la Calle 162  hasta la Calle 170 Impar,De la Cra 15 Impar hasta la Cra 45 Par
"V16, 4M1",1,111601003,111701001,045100000,053999999,130451003,130541001,160100000,169999999,De la Calle 160 Par hasta la Calle 170 Impar,De la Cra 45 Impar hasta la Cra 54 Par
"V16, 4M2",1,111601003,111701001,054100000,057882999,130541003,130578830,160100000,169999999,De la Calle 160 Par hasta la Calle 170 Impar,De la Cra 54 Impar hasta la Cra 57z
"V16, 6M1",1,111671000,111701001,058100000,071999999,130581000,130721001,167100000,169999999,De la Calle 167  hasta la Calle 170 Impar,De la Cra 58  hasta la Cra 72 Par
"V16, 6M2",1,111601000,111668830,058100000,071999999,130581000,130721001,160100000,166882999,De la Calle 160  hasta la Calle 166z,De la Cra 58  hasta la Cra 72 Par
"V17, 1M1",1,111701003,111798830,007100000,044999999,130071003,130451001,170100000,179882999,De la Calle 170 Par hasta la Calle 179z,De la Cra 7 Impar hasta la Cra 45 Par
"V17, 5M1",1,111701003,111798830,045100000,081100999,130451003,130811010,170100000,179882999,De la Calle 170 Par hasta la Calle 179z,De la Cra 45 Impar hasta la Cra 81bis
"V18, 0M1",1,111701000,111938830,000100000,006999999,130001000,130071001,170100000,193882999,De la Calle 170  hasta la Calle 193z,De la Cra 0  hasta la Cra 7 Par
"V18, 0M1",4,411701000,411938830,000100000,006100999,430001000,430061010,170100000,193882999,De la Calle 170  hasta la Calle 193z,De la Cra 0  hasta la Cra 6bis
"V18, 1M1",1,111801000,111898830,007100000,044999999,130071003,130451001,180100000,189882999,De la Calle 180  hasta la Calle 189z,De la Cra 7 Impar hasta la Cra 45 Par
"V18, 5M1",1,111801003,111891001,045100000,081100999,130451003,130811010,180100000,188999999,De la Calle 180 Par hasta la Calle 189 Impar,De la Cra 45 Impar hasta la Cra 81bis
"V19, 0M1",1,111901000,111938830,007100000,044999999,130071003,130451001,190100000,193882999,De la Calle 190  hasta la Calle 193z,De la Cra 7 Impar hasta la Cra 45 Par
"V19, 0M2",1,111901000,111938830,045100000,082128999,130451003,130821290,190100000,193882999,De la Calle 190  hasta la Calle 193z,De la Cra 45 Impar hasta la Cra 82a
"A 3, 1A",2,210301000,210398834,010100000,019882999,230101000,230198830,030100000,039882999,De la Calle 30  hasta la Calle 39z,De la Cra 10  hasta la Cra 19z
"A 4, 5A",2,210451580,210498834,068100000,071999999,230681003,230721001,045158000,049882999,De la Calle 45b  hasta la Calle 49z,De la Cra 68 Impar hasta la Cra 72 Par
"A 4, 7A",2,210401000,210498834,072100000,079882999,230721000,230798830,040100000,049882999,De la Calle 40  hasta la Calle 49z,De la Cra 72  hasta la Cra 79z
"A 5,74A",2,210551290,210583044,077100000,077274999,230771000,230772750,055129000,058303999,De la Calle 55a  hasta la Calle 58gbis,De la Cra 77  hasta la Cra 77fbis
"A 5,74B",2,210501003,210521014,078129000,078360999,230781290,230783611,050100000,052100999,De la Calle 50 Impar hasta la Calle 52bis,De la Cra 78a  hasta la Cra 78i Par
"A 6, 7A",2,210591000,210651001,077100000,079999999,230771000,230801001,059100000,064999999,De la Calle 59  hasta la Calle 65 Par,De la Cra 77  hasta la Cra 80 Par
"A 6, 7B",2,210573610,210698834,070100000,073158999,230701000,230731590,057361000,069882999,De la Calle 57i  hasta la Calle 69z,De la Cra 70  hasta la Cra 73bbis
"A 6, 7C",2,210581290,210698834,073187000,076882999,230731870,230768830,058129000,069882999,De la Calle 58a  hasta la Calle 69z,De la Cra 73c  hasta la Cra 76z
"A 6, 7D",2,210651003,210698834,077100000,080100999,230771000,230801010,065100000,069882999,De la Calle 65 Impar hasta la Calle 69z,De la Cra 77  hasta la Cra 80bis
"A 7, 8A",2,210701000,210798834,080100000,082882999,230801000,230828830,070100000,079882999,De la Calle 70  hasta la Calle 79z,De la Cra 80  hasta la Cra 82z
"A 7, 8B",2,210711580,210798834,083100000,086100999,230831000,230861010,071158000,079882999,De la Calle 71b  hasta la Calle 79z,De la Cra 83  hasta la Cra 86bis
"A 7, 8C",2,210741870,210798834,086101000,087186999,230861010,230871871,074187000,079882999,De la Calle 74c  hasta la Calle 79z,De la Cra 86bis  hasta la Cra 87c Par
"A 7, 8D",2,210731000,210741594,086101000,087186999,230861010,230871871,073100000,074158999,De la Calle 73  hasta la Calle 74bbis,De la Cra 86bis  hasta la Cra 87c Par
"A 7, 9A",2,210711003,210898834,090129000,091882999,230901290,230918830,071100000,089882999,De la Calle 71 Impar hasta la Calle 89z,De la Cra 90a  hasta la Cra 91z
"A 7, 9B",2,210751580,210898834,092100000,099882999,230921000,230998830,075158000,089882999,De la Calle 75b  hasta la Calle 89z,De la Cra 92  hasta la Cra 99z
"A 7,10A",2,210751580,210898834,100100000,109882999,231001000,231098830,075158000,089882999,De la Calle 75b  hasta la Calle 89z,De la Cra 100  hasta la Cra 109z
"A 8, 8A",2,210801000,210998834,080100000,087158999,230801003,230871590,080100000,099882999,De la Calle 80  hasta la Calle 99z,De la Cra 80 Impar hasta la Cra 87bbis
"A 8, 8B",2,210841003,210998834,087187000,090100999,230871870,230901010,084100000,099882999,De la Calle 84 Impar hasta la Calle 99z,De la Cra 87c  hasta la Cra 90bis
A_SOACHA_1,2,210001000,210008834,000100000,000882999,230001000,230008830,000100000,000882999,De la Calle 0  hasta la Calle 0z,De la Cra 0  hasta la Cra 0z
"R 1, 0E",4,410071003,410191001,000100000,010882999,430001000,430108830,007100000,018999999,De la Calle 7 Par hasta la Calle 19 Impar,De la Cra 0  hasta la Cra 10z
"A 0, 0",2,210001000,210098834,000100000,009999999,230001000,230101001,000100000,009882999,De la Calle 0  hasta la Calle 9z,De la Cra 0  hasta la Cra 10 Par
"A 0, 8",2,210001000,210098834,080100000,120882999,230801000,231208830,000100000,009882999,De la Calle 0  hasta la Calle 9z,De la Cra 80  hasta la Cra 120z
"A 1, 0",2,210101000,210198834,000100000,009999999,230001000,230101001,010100000,019882999,De la Calle 10  hasta la Calle 19z,De la Cra 0  hasta la Cra 10 Par
"A 2, 0",2,210201000,210298834,000100000,009999999,230001000,230101001,020100000,029882999,De la Calle 20  hasta la Calle 29z,De la Cra 0  hasta la Cra 10 Par
"A 2, 1",2,210221003,210298834,010100000,019882999,230101003,230198830,022100000,029882999,De la Calle 22 Impar hasta la Calle 29z,De la Cra 10 Impar hasta la Cra 19z
"A 2, 2",2,210221003,210298834,020100000,029999999,230201000,230301001,022100000,029882999,De la Calle 22 Impar hasta la Calle 29z,De la Cra 20  hasta la Cra 30 Par
"A 2, 3",2,210261003,210398834,030100000,034882999,230301003,230348830,026100000,039882999,De la Calle 26 Impar hasta la Calle 39z,De la Cra 30 Impar hasta la Cra 34z
"A 3, 0",2,210301000,210398834,000100000,009882999,230001000,230098830,030100000,039882999,De la Calle 30  hasta la Calle 39z,De la Cra 0  hasta la Cra 9z
"A 3, 2",2,210301000,210398834,020100000,029999999,230201000,230301001,030100000,039882999,De la Calle 30  hasta la Calle 39z,De la Cra 20  hasta la Cra 30 Par
"A 3, 5",2,210271000,210448834,050100000,052882999,230501000,230528830,027100000,044882999,De la Calle 27  hasta la Calle 44z,De la Cra 50  hasta la Cra 52z
"A 3, 8",2,210301000,210398834,080100000,089882999,230801000,230898830,030100000,039882999,De la Calle 30  hasta la Calle 39z,De la Cra 80  hasta la Cra 89z
"A 3, 9",2,210301000,210398834,090100000,120882999,230901000,231208830,030100000,039882999,De la Calle 30  hasta la Calle 39z,De la Cra 90  hasta la Cra 120z
"A 4, 0",2,210401000,210498834,000100000,009882999,230001000,230098830,040100000,049882999,De la Calle 40  hasta la Calle 49z,De la Cra 0  hasta la Cra 9z
"A 4, 1",2,210401000,210498834,010100000,019882999,230101000,230198830,040100000,049882999,De la Calle 40  hasta la Calle 49z,De la Cra 10  hasta la Cra 19z
"A 4, 2",2,210401000,210498834,020100000,029882999,230201000,230298830,040100000,049882999,De la Calle 40  hasta la Calle 49z,De la Cra 20  hasta la Cra 29z
"A 4, 3",2,210401000,210498834,030100000,039882999,230301000,230398830,040100000,049882999,De la Calle 40  hasta la Calle 49z,De la Cra 30  hasta la Cra 39z
"A 4, 4",2,210401000,210498834,040100000,049882999,230401000,230498830,040100000,049882999,De la Calle 40  hasta la Calle 49z,De la Cra 40  hasta la Cra 49z
"A 4, 5",2,210451000,210498834,050100000,067999999,230501000,230681001,045100000,049882999,De la Calle 45  hasta la Calle 49z,De la Cra 50  hasta la Cra 68 Par
"A 5, 0",2,210501000,210598834,000100000,009882999,230001000,230098830,050100000,059882999,De la Calle 50  hasta la Calle 59z,De la Cra 0  hasta la Cra 9z
"A 5, 1",2,210501000,210598834,010100000,019882999,230101000,230198830,050100000,059882999,De la Calle 50  hasta la Calle 59z,De la Cra 10  hasta la Cra 19z
"A 5, 2",2,210501000,210598834,020100000,029882999,230201000,230298830,050100000,059882999,De la Calle 50  hasta la Calle 59z,De la Cra 20  hasta la Cra 29z
"A 5, 3",2,210501000,210598834,030100000,039882999,230301000,230398830,050100000,059882999,De la Calle 50  hasta la Calle 59z,De la Cra 30  hasta la Cra 39z
"A 5, 4",2,210501000,210598834,040100000,049882999,230401000,230498830,050100000,059882999,De la Calle 50  hasta la Calle 59z,De la Cra 40  hasta la Cra 49z
"A 5, 5",2,210501003,210598834,050100000,061882999,230501000,230618830,050100000,059882999,De la Calle 50 Impar hasta la Calle 59z,De la Cra 50  hasta la Cra 61z
"A 5,74",2,210551290,210581014,073187000,076882999,230731870,230768830,055129000,058100999,De la Calle 55a  hasta la Calle 58bis,De la Cra 73c  hasta la Cra 76z
"A 6, 0",2,210601000,210698834,000100000,009882999,230001000,230098830,060100000,069882999,De la Calle 60  hasta la Calle 69z,De la Cra 0  hasta la Cra 9z
"A 6, 1",2,210601000,210698834,010100000,019882999,230101000,230198830,060100000,069882999,De la Calle 60  hasta la Calle 69z,De la Cra 10  hasta la Cra 19z
"A 6, 2",2,210601000,210698834,020100000,029882999,230201000,230298830,060100000,069882999,De la Calle 60  hasta la Calle 69z,De la Cra 20  hasta la Cra 29z
"A 6, 3",2,210601000,210698834,030100000,039882999,230301000,230398830,060100000,069882999,De la Calle 60  hasta la Calle 69z,De la Cra 30  hasta la Cra 39z
"A 6, 4",2,210601000,210698834,040100000,049882999,230401000,230498830,060100000,069882999,De la Calle 60  hasta la Calle 69z,De la Cra 40  hasta la Cra 49z
"A 6, 5",2,210601000,210698834,050100000,059882999,230501000,230598830,060100000,069882999,De la Calle 60  hasta la Calle 69z,De la Cra 50  hasta la Cra 59z
"A 6, 6",2,210573610,210698834,062100000,069882999,230621000,230698830,057361000,069882999,De la Calle 57i  hasta la Calle 69z,De la Cra 62  hasta la Cra 69z
"A 6, 7",2,210601000,210698834,070100000,079882999,230701000,230798830,060100000,069882999,De la Calle 60  hasta la Calle 69z,De la Cra 70  hasta la Cra 79z
"A 6,10",2,210601000,210698834,100100000,150882999,231001000,231508830,060100000,069882999,De la Calle 60  hasta la Calle 69z,De la Cra 100  hasta la Cra 150z
"A 7, 0",2,210701000,210798834,000100000,014882999,230001000,230148830,070100000,079882999,De la Calle 70  hasta la Calle 79z,De la Cra 0  hasta la Cra 14z
"A 7, 1",2,210701000,210798834,015100000,019882999,230151000,230198830,070100000,079882999,De la Calle 70  hasta la Calle 79z,De la Cra 15  hasta la Cra 19z
"A 7, 2",2,210701000,210798834,020100000,029882999,230201000,230298830,070100000,079882999,De la Calle 70  hasta la Calle 79z,De la Cra 20  hasta la Cra 29z
"A 7, 3",2,210701000,210798834,030100000,039882999,230301000,230398830,070100000,079882999,De la Calle 70  hasta la Calle 79z,De la Cra 30  hasta la Cra 39z
"A 7, 4",2,210701000,210798834,040100000,049882999,230401000,230498830,070100000,079882999,De la Calle 70  hasta la Calle 79z,De la Cra 40  hasta la Cra 49z
"A 7, 5",2,210701000,210798834,050100000,059882999,230501000,230598830,070100000,079882999,De la Calle 70  hasta la Calle 79z,De la Cra 50  hasta la Cra 59z
"A 7, 6",2,210701000,210798834,060100000,069882999,230601000,230698830,070100000,079882999,De la Calle 70  hasta la Calle 79z,De la Cra 60  hasta la Cra 69z
"A 7, 7",2,210701000,210798834,070100000,079882999,230701000,230798830,070100000,079882999,De la Calle 70  hasta la Calle 79z,De la Cra 70  hasta la Cra 79z
"A 8, 0",2,210801000,210898834,000100000,015882999,230001000,230158830,080100000,089882999,De la Calle 80  hasta la Calle 89z,De la Cra 0  hasta la Cra 15z
"A 8, 0",3,310801000,310898834,000100000,015882999,330001000,330158830,080100000,089882999,De la Calle 80  hasta la Calle 89z,De la Cra 0  hasta la Cra 15z
"A 8, 1",2,210801000,210898834,016100000,019882999,230161000,230198830,080100000,089882999,De la Calle 80  hasta la Calle 89z,De la Cra 16  hasta la Cra 19z
"A 8, 2",2,210801000,210898834,020100000,029882999,230201000,230298830,080100000,089882999,De la Calle 80  hasta la Calle 89z,De la Cra 20  hasta la Cra 29z
"A 8, 3",2,210801000,210898834,030100000,039882999,230301000,230398830,080100000,089882999,De la Calle 80  hasta la Calle 89z,De la Cra 30  hasta la Cra 39z
"A 8, 4",2,210801000,210898834,040100000,049882999,230401000,230498830,080100000,089882999,De la Calle 80  hasta la Calle 89z,De la Cra 40  hasta la Cra 49z
"A 8, 5",2,210801000,210898834,050100000,059882999,230501000,230598830,080100000,089882999,De la Calle 80  hasta la Calle 89z,De la Cra 50  hasta la Cra 59z
"A 8, 6",2,210801000,210898834,060100000,069882999,230601000,230698830,080100000,089882999,De la Calle 80  hasta la Calle 89z,De la Cra 60  hasta la Cra 69z
"A 8, 7",2,210801000,210998834,070100000,079882999,230701000,230798830,080100000,099882999,De la Calle 80  hasta la Calle 99z,De la Cra 70  hasta la Cra 79z
"A 8, 8",2,210801000,210998834,080100000,089882999,230801000,230898830,080100000,099882999,De la Calle 80  hasta la Calle 99z,De la Cra 80  hasta la Cra 89z
"A 8, 9",2,210801000,210998834,090100000,150882999,230901000,231508830,080100000,099882999,De la Calle 80  hasta la Calle 99z,De la Cra 90  hasta la Cra 150z
"A 9, 0",2,210901000,210998834,000100000,015882999,230001000,230158830,090100000,099882999,De la Calle 90  hasta la Calle 99z,De la Cra 0  hasta la Cra 15z
"A 9, 0",3,310901000,310998834,000100000,025882999,330001000,330258830,090100000,099882999,De la Calle 90  hasta la Calle 99z,De la Cra 0  hasta la Cra 25z
"A 9, 1",2,210901000,210998834,016100000,019882999,230161000,230198830,090100000,099882999,De la Calle 90  hasta la Calle 99z,De la Cra 16  hasta la Cra 19z
"A 9, 2",2,210901000,210998834,020100000,029882999,230201000,230298830,090100000,099882999,De la Calle 90  hasta la Calle 99z,De la Cra 20  hasta la Cra 29z
"A 9, 3",2,210901000,210998834,030100000,039882999,230301000,230398830,090100000,099882999,De la Calle 90  hasta la Calle 99z,De la Cra 30  hasta la Cra 39z
"A10, 0",2,211001000,211038834,000100000,014882999,230001000,230148830,100100000,103882999,De la Calle 100  hasta la Calle 103z,De la Cra 0  hasta la Cra 14z
"A10, 0",3,311001000,311038834,000100000,014882999,330001000,330148830,100100000,103882999,De la Calle 100  hasta la Calle 103z,De la Cra 0  hasta la Cra 14z
"A10, 1",2,211041000,211098834,000100000,014882999,230001000,230148830,104100000,109882999,De la Calle 104  hasta la Calle 109z,De la Cra 0  hasta la Cra 14z
"A10, 1",3,311041000,311098834,000100000,014882999,330001000,330148830,104100000,109882999,De la Calle 104  hasta la Calle 109z,De la Cra 0  hasta la Cra 14z
"A11, 0",2,211101000,211198834,000100000,014882999,230001000,230148830,110100000,119882999,De la Calle 110  hasta la Calle 119z,De la Cra 0  hasta la Cra 14z
"A11, 0",3,311101000,311198834,000100000,014882999,330001000,330148830,110100000,119882999,De la Calle 110  hasta la Calle 119z,De la Cra 0  hasta la Cra 14z
"A11, 1",2,211101000,211198834,010100000,019882999,230101000,230198830,110100000,119882999,De la Calle 110  hasta la Calle 119z,De la Cra 10  hasta la Cra 19z
"A11, 1",3,311101000,311198834,010100000,019882999,330101000,330198830,110100000,119882999,De la Calle 110  hasta la Calle 119z,De la Cra 10  hasta la Cra 19z
"A12, 0",2,211201000,211298834,000100000,009882999,230001000,230098830,120100000,129882999,De la Calle 120  hasta la Calle 129z,De la Cra 0  hasta la Cra 9z
"A12, 0",3,311201000,311298834,000100000,009882999,330001000,330098830,120100000,129882999,De la Calle 120  hasta la Calle 129z,De la Cra 0  hasta la Cra 9z
"A12, 1",2,211201000,211298834,010100000,019882999,230101000,230198830,120100000,129882999,De la Calle 120  hasta la Calle 129z,De la Cra 10  hasta la Cra 19z
"A12, 1",3,311201000,311298834,010100000,019882999,330101000,330198830,120100000,129882999,De la Calle 120  hasta la Calle 129z,De la Cra 10  hasta la Cra 19z
"A13, 0",2,211301000,211398834,000100000,020882999,230001000,230208830,130100000,139882999,De la Calle 130  hasta la Calle 139z,De la Cra 0  hasta la Cra 20z
"A13, 0",3,311301000,311398834,000100000,020882999,330001000,330208830,130100000,139882999,De la Calle 130  hasta la Calle 139z,De la Cra 0  hasta la Cra 20z
"A90, 0",3,310001000,310098834,000100000,035882999,330001000,330358830,000100000,009882999,De la Calle 0  hasta la Calle 9z,De la Cra 0  hasta la Cra 35z
"A91, 0",3,310101000,310198834,000100000,035882999,330001000,330358830,010100000,019882999,De la Calle 10  hasta la Calle 19z,De la Cra 0  hasta la Cra 35z
"A92, 0",3,310201000,310298834,000100000,035882999,330001000,330358830,020100000,029882999,De la Calle 20  hasta la Calle 29z,De la Cra 0  hasta la Cra 35z
"A93, 0",3,310301000,310398834,000100000,035882999,330001000,330358830,030100000,039882999,De la Calle 30  hasta la Calle 39z,De la Cra 0  hasta la Cra 35z
"A94, 0",3,310401000,310498834,000100000,035882999,330001000,330358830,040100000,049882999,De la Calle 40  hasta la Calle 49z,De la Cra 0  hasta la Cra 35z
"A95, 0",3,310501000,310598834,000100000,035882999,330001000,330358830,050100000,059882999,De la Calle 50  hasta la Calle 59z,De la Cra 0  hasta la Cra 35z
"A96, 0",3,310601000,310698834,000100000,035882999,330001000,330358830,060100000,069882999,De la Calle 60  hasta la Calle 69z,De la Cra 0  hasta la Cra 35z
"A97, 0",3,310701000,310898834,000100000,035882999,330001000,330358830,070100000,089882999,De la Calle 70  hasta la Calle 89z,De la Cra 0  hasta la Cra 35z
"R 0, 0",1,110001000,110068830,000100000,009882999,130001000,130098830,000100000,006882999,De la Calle 0  hasta la Calle 6z,De la Cra 0  hasta la Cra 9z
"R 0, 0",4,410001000,410068830,000100000,010882999,430001000,430108830,000100000,006882999,De la Calle 0  hasta la Calle 6z,De la Cra 0  hasta la Cra 10z
